,divisions,publisher,dir,status_changed,full_text_status,rev_number,ispublished,subjects,uri,date,creators,type,title,eprint_status,eprintid,datestamp,metadata_visibility,userid,documents,lastmod,issn,publication,volume,abstract,date_type,refereed,number,pagerange,funders,contact_email,editors,corp_creators,book_title,series,place_of_pub,isbn,contributors,pages,official_url,related_url,id_number
0,['FP25'],Universitas Lampung,disk0_bak/00/04/75/47,2023-01-02 03:23:45,public,7,unpub,['S1'],http://repository.lppm.unila.ac.id/id/eprint/47547,1970-01-01 00:00:00.000002023,"[{'id': 'agustiansyah.1972@fp.unila.ac.id', 'name': {'family': 'Agustiansyah', 'lineage': None, 'honourific': None, 'given': 'Agustiansyah'}}]",other,"Similarity:Phosphorus and Boron Application on Growth, Yield, and Quality of
Soybean Seeds (Glycine max [L.] Merril)",archive,47547,2023-01-02 03:23:45,show,53,"[{'files': [{'mtime': '2023-01-01 12:05:13', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/521211', 'filename': 'Phosphorus and Boron Application_similiarity.pdf', 'objectid': 186612, 'filesize': 292749, 'mime_type': 'application/pdf', 'hash': '0245d053f300e52282e903342a7d75bb', 'datasetid': 'document', 'fileid': 521211}], 'main': 'Phosphorus and Boron Application_similiarity.pdf', 'docid': 186612, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 47547, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186612', 'pos': 1, 'security': 'public'}]",2023-01-02 03:23:45,,,,,,,,,,,,,,,,,,,,,
1,['FP25'],Universitas Lampung,disk0_bak/00/04/75/49,2023-01-02 03:23:48,public,7,unpub,['S1'],http://repository.lppm.unila.ac.id/id/eprint/47549,1970-01-01 00:00:00.000002023,"[{'id': 'agustiansyah.1972@fp.unila.ac.id', 'name': {'given': 'Agustiansyah', 'family': 'Agustiansyah', 'lineage': None, 'honourific': None}}]",other,"Similarity:The Effects of Foliar Boron and Silica Through the
Leaves on Soybean Growth and Yield",archive,47549,2023-01-02 03:23:48,show,53,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186614', 'eprintid': 47549, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'The Effects of Foliar Boron and Silica.pdf_similiarity.pdf', 'files': [{'fileid': 521225, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '543ba8508e17c51cf61217ec776fdf27', 'hash_type': 'MD5', 'mtime': '2023-01-01 12:12:11', 'objectid': 186614, 'filesize': 862185, 'filename': 'The Effects of Foliar Boron and Silica.pdf_similiarity.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/521225'}], 'docid': 186614}]",2023-01-02 03:23:48,,,,,,,,,,,,,,,,,,,,,
2,['FP25'],Universitas Lampung,disk0_bak/00/04/75/80,2023-01-03 03:59:33,public,8,unpub,['S1'],http://repository.lppm.unila.ac.id/id/eprint/47580,1970-01-01 00:00:00.000002023,"[{'id': 'agustiansyah.1972@fp.unila.ac.id', 'name': {'given': 'Agustiansyah', 'family': 'Agustiansyah', 'lineage': None, 'honourific': None}}]",other,"Similiarity:Root Yield and Starch Synthase Type IV Gene Activity under
Different Micro Nutrient Fertilizer and Harvest Ages on
Cassava (Manihot esculenta Crantz)",archive,47580,2023-01-03 03:59:33,show,53,"[{'eprintid': 47580, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186650', 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': 'aa430b9071b84cd1e08b4f3e538174a2', 'datasetid': 'document', 'fileid': 521502, 'mtime': '2023-01-03 03:41:26', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/521502', 'filename': 'Root Yield and Starch Synthase.pdf_Similiarity.pdf', 'filesize': 630395, 'objectid': 186650}], 'main': 'Root Yield and Starch Synthase.pdf_Similiarity.pdf', 'docid': 186650, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2023-01-03 03:59:33,,,,,,,,,,,,,,,,,,,,,
3,['FP25'],Universitas Lampung,disk0_bak/00/04/75/48,2023-01-02 03:23:46,public,7,unpub,['S1'],http://repository.lppm.unila.ac.id/id/eprint/47548,1970-01-01 00:00:00.000002023,"[{'id': 'agustiansyah.1972@fp.unila.ac.id', 'name': {'given': 'Agustiansyah', 'honourific': None, 'lineage': None, 'family': 'Agustiansyah'}}]",other,"Similiarity:The Effect of Difference Soaking Duration and GA3
Concentration on Germination of oil Palm (Elaeis Guineensis
Jacq)",archive,47548,2023-01-02 03:23:46,show,53,"[{'format': 'text', 'docid': 186613, 'main': 'Setiawan_2022_IOP_Conf._Ser.__Earth_Environ._Sci._1012_012014.pdf_similiarity.pdf', 'files': [{'fileid': 521218, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '214b3a97dc456324bea1af20f7dd0877', 'hash_type': 'MD5', 'mtime': '2023-01-01 12:09:11', 'filesize': 652080, 'objectid': 186613, 'filename': 'Setiawan_2022_IOP_Conf._Ser.__Earth_Environ._Sci._1012_012014.pdf_similiarity.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/521218'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 47548, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186613', 'pos': 1}]",2023-01-02 03:23:46,,,,,,,,,,,,,,,,,,,,,
4,['FP25'],Fakultas Pertanian Universitas Lampung,disk0_bak/00/05/09/98,2023-05-03 06:57:52,public,6,pub,['S1'],http://repository.lppm.unila.ac.id/id/eprint/50998,2023-03-01 00:00:00.000000000,"[{'id': 'pramono.e61@gmail.com', 'name': {'lineage': None, 'family': 'Eko Pramono', 'honourific': None, 'given': 'E.'}}, {'id': 'tundjungtripenihandayani@gmail.com', 'name': {'given': 'Tripeni Handayani', 'family': 'Tundjung', 'lineage': None, 'honourific': None}}, {'name': {'lineage': None, 'family': 'Manik', 'honourific': None, 'given': 'Tumiar Katarina'}, 'id': 'tumiar.katarina@fp.unila.ac.id'}, {'id': 'msyamsoelhadi@yahoo.co.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Muhammad Syamsoel', 'given': 'Hadi'}}]",article,"PETAK PERCONTOHAN TUMPANGSARI KEDELAI (Glycine max 
[L.] Merrill) DENGAN SINGKONG (Manihot esculenta Crantz) DI 
DATARAN TINGGI SEKINCAU LAMPUNG BARAT",archive,50998,2023-05-03 06:57:52,show,325,"[{'format': 'text', 'main': 'Tumpang sari kedele.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2023-05-03 04:00:44', 'filesize': 1284652, 'objectid': 190709, 'filename': 'Tumpang sari kedele.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/548611', 'datasetid': 'document', 'fileid': 548611, 'hash': 'd655299cdf294562c35f6d48e53c2c53', 'mime_type': 'application/pdf'}], 'docid': 190709, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 50998, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190709'}]",2023-05-03 06:57:52,ISSN: 2829-2235 (ONLINE),Jurnal Pengabdian Fakultas Pertanian Universitas Lampung,2.0,"Para petani di Kecamatan Sekincau
Kabupaten Lampung Barat memiliki keterampilan 
yang tinggi dalam budidaya tanaman untuk 
produksi berbagai tanaman hortikultura sayuran. 
Kegiatan penyuluhan ini bertujuan untuk 
memperkenalkan suatu teknik produksi tanaman 
pangan dengan pertanaman tumpangsari antara 
kedelai dan singkong. Kegiatan dilaksanakan di 
Desa Sekincau, Kecamatan Sekincau, Kabupaten 
Lampung Barat pada Juni- Oktober 2022, yaitu di 
lahan Balai Benih Induk Tanaman Sayuran. 
Kegiatan penyuluhan ini menggunakan metode 
petak percontohan atau demontrasi yang disertai 
dengan ceramah, diskusi dan partisipasi peserta. 
Khalayak sasarannya adalah para petani, para 
penyuluh pertanian lapangan, para siswa sekolah 
kejuruan pertanian, dan para sarjana pertanian. 
Ada empat pola tumpangsari akan ditunjukkan 
dalam petak percontohan tersebut. Target luaran 
pertama yang dicapai adalah semua peserta 39 
orang (100%) penyuluhan melihat langsung 
pertanaman tumpangsari kedelai singkong dari 
yang semula hanya 28,5%. Setelah melihat 
langsung pertanaman tumpangsari kedelai�singkong ini, semua peserta (100%) faham dan 
yakin bahwa tanaman kedelai maupun singkong 
pada tumpangsari kedelai-singkong tidak saling 
terganggu pertumbuhannya dan 
perkembangannya. Perubahan respon 
psikomotorik yang terjadi pada semua peserta 
(100%) menyatakan mampu dan bisa bercocok 
tanam tumpangsari kedelai-singkong dan sebagian besar peserta (75%) di masa depan mau 
bercocok tanam tumpangsari kedelai singkong. 
Sebagian peserta (25%) menyatakan belum tahu di 
masa depan akan melakukan budidaya 
tumpangsari tersebut dengan alasan tidak 
memiliki lahan yang baik.",published,TRUE,1.0,80-95,,,,,,,,,,,,,
5,['FP25'],Dewan Riset Daerah Provinsi Lampung,disk0_bak/00/05/23/11,2023-07-31 09:40:02,public,11,pub,['S1'],http://repository.lppm.unila.ac.id/id/eprint/52311,2023-03-01 00:00:00.000000000,"[{'id': 's_hikam@yahoo.com', 'name': {'given': 'Saiful', 'lineage': None, 'family': 'Hikam', 'honourific': None}}]",book_section,INOVASI ATAU TEKNOLOGI. PERSIMPANGAN PILIHAN DALAM PENGEMBANGAN SDM UNTUK LAMPUNG BERJAYA,archive,52311,2023-07-31 09:40:02,show,607,"[{'format': 'text', 'docid': 253320, 'main': 'INOVASI ATAU TEKNOLOGI_Bunga Rampai DRD 2023.pdf', 'files': [{'mtime': '2023-07-30 04:43:45', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/620006', 'filename': 'INOVASI ATAU TEKNOLOGI_Bunga Rampai DRD 2023.pdf', 'objectid': 253320, 'filesize': 777683, 'mime_type': 'application/pdf', 'hash': '48b607ceec339ff930b486498329b3d9', 'fileid': 620006, 'datasetid': 'document'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 52311, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/253320', 'pos': 1}]",2023-07-31 09:40:02,,,,"Inovasi dan teknologi masih merupakan dua pengertian yang berbeda di Provinsi Lampung. Provinsi Lampung masih berpijak pada inisiasi dan pengembangan inovasi. Sumber inovasi baik dari kelompok sains peneliti maupun masyarakat cukup banyak dan bermanfaat sebagaimana yang telah dapat dijaring melalui kegiatan Lomba Inovasi dan Teknologi Daerah sejak tahun 2004 – 2022.  Hanya saja rekayasa inovasi tersebut menjadi piranti manufaktur dan produksi massal sebagai komoditas yang menguntungkan dan memberi Pendapatan Asli Daerah mengalami senjang (bottle-neck) pada langkah awal rekayasa.

Kata kunci: Bottle-Neck Rekayasa, Inovasi Dan Teknologi, Lomba Inovasi Dan Teknologi, Manufaktur, Pendapatan Asli Daerah",published,TRUE,,30-46,['Badan Penelitian dan Pengembangan Daerah Provinsi Lampung'],s_hikam@yahoo.com,"[{'name': {'lineage': None, 'family': 'Syarif', 'honourific': None, 'given': 'Admi'}, 'id': 'admi_syarif@yahoo.com'}, {'name': {'family': 'Berawi', 'lineage': None, 'honourific': None, 'given': 'Khairun Nisa'}, 'id': 'nisaberawi0226@gmail.com'}]",['Dewan Riset Daerah Provinsi Lampung'],Pengembangan SDM untuk Meningkatkan Daya Saing Lampung,Bunga Rampai Dewan Riset Daerah Provinsi Lampung,Bandar Lampung,978-623-418-198-2,"[{'name': {'given': 'Anshori', 'honourific': None, 'family': 'Djausal', 'lineage': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Citra', 'honourific': None, 'family': 'Persada', 'lineage': None}}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'honourific': None, 'family': 'Hikam', 'lineage': None, 'given': 'Saiful'}}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Bartoven Vivit', 'lineage': None, 'family': 'Nurdin', 'honourific': None}}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Yuli', 'family': 'Ambarwati', 'lineage': None, 'honourific': None}}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'family': 'Berawi', 'lineage': None, 'honourific': None, 'given': 'Khairun Nisa'}}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'family': 'Syarif', 'lineage': None, 'honourific': None, 'given': 'Admi'}}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Bujang', 'honourific': None, 'lineage': None, 'family': 'Rahman'}}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'family': 'Mahfut', 'lineage': None, 'honourific': None, 'given': 'Mahfut'}}, {'name': {'given': 'Erwanto', 'honourific': None, 'family': 'Erwanto', 'lineage': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'name': {'honourific': None, 'family': 'Muhida', 'lineage': None, 'given': 'Riza'}, 'type': None}]",155.0,,,
6,['FP25'],Fakultas Pertanian Universitas Lampung,disk0_bak/00/05/09/94,2023-05-03 06:57:29,public,6,pub,['S1'],http://repository.lppm.unila.ac.id/id/eprint/50994,2023-03-01 00:00:00.000000000,"[{'id': 'tumiar.katarina@fp.unila.ac.id', 'name': {'given': 'Tumiar Katarina', 'family': 'Manik', 'lineage': None, 'honourific': None}}, {'name': {'given': 'P.B.', 'lineage': None, 'family': 'Timotiwu', 'honourific': None}, 'id': 'paul.timotiwu@gmail.com'}, {'id': 'yohannesginting@gmail.com', 'name': {'honourific': None, 'family': 'Ginting', 'lineage': None, 'given': 'Yohanes'}}, {'name': {'given': 'Agustiansyah', 'honourific': None, 'family': 'Agustiansyah', 'lineage': None}, 'id': 'agustiansyah.1972@fp.unila.ac.id'}]",article,"PENGGUNAAN APLIKASI AGROPED DALAM 
MENINGKATKAN PEMASARAN HASIL PERTANIAN 
DAN SARANA KONSULTASI BAGI PETANI 
KOTA BANDAR LAMPUNG",archive,50994,2023-05-03 06:57:29,show,325,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190706', 'pos': 1, 'eprintid': 50994, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 548596, 'mime_type': 'application/pdf', 'hash': 'bcbf90e5ac5e38a0e053f8c7d28dd879', 'hash_type': 'MD5', 'mtime': '2023-05-03 03:37:48', 'filesize': 356630, 'objectid': 190706, 'uri': 'http://repository.lppm.unila.ac.id/id/file/548596', 'filename': 'Aplikasi agroped.pdf'}], 'main': 'Aplikasi agroped.pdf', 'docid': 190706}]",2023-05-03 06:57:29,ISSN: 2829-2235 (ONLINE),Jurnal Pengabdian Fakultas Pertanian Universitas Lampung,2.0,"Kegiatan pengabdian kepada masyarakat 
ini dilakukan di Bandar Lampung. Petani dan 
kelompok tani mempunyai produk unggulan, tetapi 
mempunyai persoalan dalam hal pemasaran.
Masalah lainnya adalah petani dan penyuluh 
pertanian memerlukan bimbingan dan informasi 
dalam mengatasi permasalahan di lapang. Suatu 
aplikasi yang diberi nama AGROPED berbasis 
mobile dibuat sebagai alternatif bagi para petani 
untuk memasarkan hasil pertanian, 
mendapatkan konsultasi pertanian dan informasi 
terkait pertanian. Kegiatan ini bertujuan 
memperkenalkan, dan mempraktekkan aplikasi 
AGROPED fitur konsultasi sebagai alternatif
komunikasi antar petani dan dosen dosen Fakultas 
Pertanian Universitas Lampung. Kegiatan meliputi 
: menjalankan komunikasi dengan kelompok tani, 
survey potensi dan permasalahan petani mitra, 
pelatihan penggunaan AGROPED. Waktu 
pelaksanaan Bulan Juni – September 2022. Jumlah 
petani yang terdaftar dalam AGROPED pada 
pencatatan terakhir adalah 126 sedangkan jumlah 
petani yang aktif menggunakan AGROPED sebagai 
media konsultasi tercatat 51 petani. Sebagai 
langkah awal hasil yang dicapai sesuai target 
tetapi kelanjutan kegiatan ini masih memerlukan 
banyak usaha dan dukungan.",published,TRUE,1.0,31-40,,,,,,,,,,,https://jurnal.fp.unila.ac.id/index.php/JPFP,,
7,['FP25'],LPPM Universitas Lampung,disk0_bak/00/05/17/49,2023-05-17 07:24:34,public,7,unpub,['S1'],http://repository.lppm.unila.ac.id/id/eprint/51749,2023-05-10 00:00:00.000000000,"[{'name': {'family': 'Pangaribuan', 'lineage': None, 'honourific': None, 'given': 'Darwin H'}, 'id': 'darwin.pangaribuan@fp.unila.ac.id'}]",other,Bukti Kinerja Dana Hibah Bersaing,archive,51749,2023-05-17 07:24:34,show,842,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/250169', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 51749, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'UNGGAH LAP AKHIR OK new plus Acta Hort.pdf', 'docid': 250169, 'files': [{'fileid': 613089, 'datasetid': 'document', 'hash': 'e7258b8362668a87f7041a3c4ca42bbf', 'mime_type': 'application/pdf', 'objectid': 250169, 'filesize': 2353000, 'filename': 'UNGGAH LAP AKHIR OK new plus Acta Hort.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/613089', 'hash_type': 'MD5', 'mtime': '2023-05-17 04:46:10'}], 'format': 'text'}]",2023-05-17 07:24:34,,,,"Upaya terus dilakukan untuk meningkatkan produksi jagung manis salah satunya dengan melakukan pemupukan.Sumber pupuk nabati sumber Nitrogen seperti ekstrak lamtoro belum
banyak diteliti. Tujuan penelitian ini adalah untuk mengetahui pengaruh pemupukan ekstrak daun lamtoro terhadap pertumbuhan dan produksi jagung manis Penelitian ini menggunakan rancangan acak kelompok (RAK), dengan lima perlakuan yaitu tanpa pemberian pupuk, pemberian pupuk urea dosis 300 kg/ha, pemberian pupuk organik cair daun lamtoro dengan konsentrasi 500 cc/ l air (diaplikasikan ke daun satu
kali seminggu mulai umur 2MST sampai 7MST), pemberian urea (pupuk dasar) dosis 150 kg/ha + pupuk organik cair daun lamtoro 500 cc/l (diaplikasikan ke daun satu kali
seminggu mulai umur 2MST sampai 7MST), pemberian urea dosis (pupuk dasar) 150 kg/ha + pupuk organik cair daun lamtoro 500 cc/l (diaplikasikan ke daun satu kali seminggu mulai umur 5 MST sampai 7MST), dan setiap perlakuan terdiri dari 3
ulangan.  Hasil penelitian ini menunjukan bahwa (1) Ekstrak lamtoro dapat dijadikan alternatif sumber pupuk nitrogen nabati, yang terbukti dari  produksi jagung manis hasil
aplikasi ekstrak lamtoro sama dengan produksi jagung manis dengan aplikasi pupuk rekomendasi nitrogen.  (2)  Pemberian pupuk urea (pupuk dasar) dosis 150 kg/ha dan
pupuk organik cair daun lamtoro dengan konsentrasi 500 cc/l air memberikan hasil
cenderung lebih tinggi terhadap pertumbuhan dan produksi tanaman jagung manis.
. 

Penelitian tahun kedua bertujuan untuk melihat pengaruh jenis pupuk organik dari limbah tandan kosong kelapa sawit dan jerami padi  yang diperkaya dengan kotoran ternak dan
dolomit serta interaksinya dengan pupuk Nitrogen (N).  Penelitian n dilaksanakan dengan Rancangan Faktorial 4 x 3.  Faktor pertama adalah: P1 = pupuk kompos tandan kosong
kelapa sawit, dosis 20 ton ha ; P2 = pupuk kompos tandan kosong kelapa sawit 60% diperkaya pukan ayam 30% dan dolomit 10% , dosis 20 ton ha -1 ;  P3 = pupuk kompos serasah jerami, dosis 20 ton ha -1 ;  P4 = pupuk organik serasah jerami 60% diperkaya pukan ayam 30% dan  dolomit 10%, dosis 20 ton ha -1 ;  Faktor Kedua adalah dosis pupuk UreaN0:
kontrol; N1: 150 kgha -1  (dosis tinggi).  Penelitian kedua tahun pertama telah ditemukan jenis kompos organik yang diperkaya dan interaksinya dengan pupuk Nitrogen, dalam rangka upaya mengurangi penggunaan pupuk anorganik.  

Penelitian tahun ketiga bertujuan untuk melihat pengaruh dari limbah jerami padi  yang diperkaya dengan kotoran ternak dan dolomit serta interaksinya dengan pupuk Kalium (K). Penelitian  dilaksanakan dengan Rancangan Faktorial 2 x 3.  Faktor pertama adalah: P1 = pupuk kompos standard jerami padi dosis 20 ton ha -1  (dosis sedang); N2: 300 kgha
-1 ; P2 = pupuk kompos jerami padi 60% yang diperkaya pukan ayam 30% dan dolomit 10%  dosis 20 ton ha -1 ; Kedua adalah dosis pupuk KCl:K0: kontrol; K1: 100 kgha -1
 (dosis tinggi). Penelitian tahun kedua telah ditemukan bahwa pupuk organik jerami yan gdiperkaya berinteraksid deengan pemberian pupuk Kalium.  Dosis pupuk Kalium yang
direkomendasikan adalakah dosis sedang 100 kg ha -1
 (dosis sedang); K3: 200 kgha -1
.",,,,,,,,,,,,,,,,,
8,['FP25'],LPPM Universitas Lampung,disk0_bak/00/05/17/45,2023-05-17 07:24:25,public,9,unpub,['S1'],http://repository.lppm.unila.ac.id/id/eprint/51745,2023-05-10 00:00:00.000000000,"[{'name': {'given': 'Darwin H', 'family': 'Pangaribuan', 'lineage': None, 'honourific': None}, 'id': 'darwin.pangaribuan@fp.unila.ac.id'}]",other,"Bukti Surat Penugasan Dana penelitian Hibah Bersaing dengan total dana tercatat adalah Rp122.500.000,00 (seratus dua puluh dua juta lima ratus ribu rupiah)",archive,51745,2023-05-17 07:24:25,show,842,"[{'eprintid': 51745, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/250158', 'pos': 1, 'format': 'text', 'main': 'Gabungan Ketua Penelitian 2 tahun berturut 122.5 jt.pdf', 'files': [{'mtime': '2023-05-17 04:22:01', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/613062', 'filename': 'Gabungan Ketua Penelitian 2 tahun berturut 122.5 jt.pdf', 'objectid': 250158, 'filesize': 5169790, 'hash': '79e025c109f2984b48b656bb9c86bb68', 'mime_type': 'application/pdf', 'fileid': 613062, 'datasetid': 'document'}], 'docid': 250158, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2023-05-17 07:24:25,,,,"Surat Penugasan Dana penelitian Hibah Bersaing tahun 2014 (arsip tidak ditemukan), tahun 2015 (terlampir arsip dana 72,5 juta) dan tahun 2016 (terlampir arsip dana 50 juta) dengan total dana semua adalah tercatat Rp122.500.000,00 (seratus dua puluh dua juta lima ratus ribu rupiah)",,,,,,,,,,,Bandar Lampung,,,,,,
9,['FP25'],Elsevier,disk0_bak/00/05/17/42,2023-05-17 04:09:34,public,7,unpub,['S1'],http://repository.lppm.unila.ac.id/id/eprint/51742,2023-05-15 00:00:00.000000000,"[{'id': 'darwin.pangaribuan@fp.unila.ac.id', 'name': {'given': 'Darwin H', 'honourific': None, 'family': 'Pangaribuan', 'lineage': None}}]",other,Bukti mereview artikel artikel Jurnal Scopus Q1 Journal of Agriculture and Food Research. Penerbit Elsevier.,archive,51742,2023-05-17 04:09:34,show,842,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '1C Bukti Review Report SCOPUS Agric and Food.pdf', 'docid': 250140, 'files': [{'mtime': '2023-05-17 04:04:43', 'hash_type': 'MD5', 'filename': '1C Bukti Review Report SCOPUS Agric and Food.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/613013', 'objectid': 250140, 'filesize': 521237, 'mime_type': 'application/pdf', 'hash': 'c31533797639e70b5204be9f7fc4233b', 'fileid': 613013, 'datasetid': 'document'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/250140', 'security': 'public', 'placement': 1, 'eprintid': 51742}]",2023-05-17 04:09:34,,,,"Journal of Agriculture and Food Research is  journal covering the technologies/fields/categories related to Agricultural and Biological Sciences (miscellaneous) It is published by Elsevier BV. The P-ISSN of this journal is 26661543. According to SCImago Journal Rank (SJR), this journal is ranked 0.59. The best quartile for this journal is Q1.",,,,,,,,,,,The Netherlands,,,,https://www.scimagojr.com/journalsearch.php?q=21101044948&tip=sid,"[{'type': 'pub', 'url': 'https://www.sciencedirect.com/journal/journal-of-agriculture-and-food-research'}]",
